From,Subject,Snippet,Labels,Has Attachments,Message Length
Crazy Factory <info@crazy-factory.com>,Votre numéro de commande: 15914622,Confirmation de commande Merci pour votre commande! Bonjour PICOT Nous avons bien reçu l&#39;intégralité de votre paiement. Votre commande sera expédiée au plus vite possible. Vous avez reçu 364 Crazy,"['UNREAD', 'IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,81231
Crazy Factory <info@crazy-factory.com>,Votre nouveau mot de passe,"RÉINITIALISER LE MOT DE PASSE Bonjour PICOT Mélanie Mot de passe oublié ? Pas de problème, on s&#39;en occupe ! Clique sur le lien ci-dessous dans les prochaines 24 heures RÉINITIALISER LE MOT DE PASSE","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,10689
LinkedIn <jobs-listings@linkedin.com>,Poste de Data Scientist chez Capgemini : recrute activement,"Mélanie, voici les meilleures opportunités choisies pour vous ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏","['CATEGORY_SOCIAL', 'INBOX']",True,138995
VALERIE VIDONI <vvidoni@jehann.fr>,[Jehann] Votre candidature formation DEV IA,"Bonjour, En réponse à votre candidature pour une formation et une alternance, nous sommes au regret de vous informer que nous ne pouvons y donner une suite favorable. Nous sommes très sensibles à l","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,6134
EPITECH <no-reply-candidature@epitech.eu>,[EPITECH] - Finalisation de votre inscription,"Bonjour Mélanie PICOT, Nous vous confirmons la validation définitive de votre dossier d&#39;inscription. Un e-mail vous sera envoyé prochainement pour vous communiquer le planning de rentrée. Nous vous","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,39734
EPITECH <no-reply-candidature@epitech.eu>,[EPITECH] - Finalisation de votre inscription,"Bonjour Mélanie PICOT, Nous vous confirmons la validation définitive de votre dossier d&#39;inscription. Un e-mail vous sera envoyé prochainement pour vous communiquer le planning de rentrée. Nous vous","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,39734
LinkedIn <jobs-listings@linkedin.com>,Poste de Applied Data Scientist chez Microsoft : faites partie des 20&nbsp;premiers candidats,"Mélanie, 5 ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏","['UNREAD', 'CATEGORY_SOCIAL', 'INBOX']",True,142836
LinkedIn <jobs-listings@linkedin.com>,Poste de Applied Data Scientist chez Microsoft : 3&nbsp;anciens employés,Vos compétences semblent correspondre à ce poste ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['UNREAD', 'CATEGORY_SOCIAL', 'INBOX']",True,135879
LinkedIn <jobs-listings@linkedin.com>,Poste de ALTERNANCE 2024 - Développeur BI F/H chez Berger-Levrault : recrute activement,Vos compétences pourraient correspondre à ce poste ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,137157
"""Emilie Violé-chavez"" <emilie.viole-chavez@epitech.eu>",RE: Pieces inscription,"Bonjour Madame, J&#39;accuse réception de votre attestation CVEC. Je rajoute cette pièce à votre dossier d&#39;inscription. Restant à votre disposition, Cordialement De : Mélanie Picot &lt;melanie.","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,6402
Charlotte Bejaoui vidal <charlotte.bejaoui-vidal@epitech.eu>,Réponse automatique : Pieces inscription,"Bonjour, En arrêt, je vous prie d&#39;adresser vos demandes à Benny Falanga, benny.falanga@epitech.eu Cordialement, Charlotte","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,1096
CVEC-ne-pas-repondre@lescrous.fr,Cvec.etudiant.gouv.fr - Votre attestation,"Madame, Monsieur, Nous avons bien enregistré votre paiement pour vous acquitter de la Contribution de vie étudiante et de campus. Votre ATTESTATION d&#39;acquittement pour l&#39;année universitaire","['CATEGORY_PERSONAL', 'INBOX']",True,13065
noreply-payfip@sips-services.com,Ticket de paiement - Référence : CVEC400000TOU4RXJZKN290001,"Confirmation de paiement CENTRE REGIONAL DES OEUVRES UNIVERSITAIRES ET SCOL Date de paiement : 16/07/24 Bonjour, Votre transaction a été acceptée et enregistrée. Vous trouverez ci-dessous des","['CATEGORY_PERSONAL', 'INBOX']",True,11755
LinkedIn <jobs-listings@linkedin.com>,Poste de French Speakers (Remote) chez Sigma AI : recrute activement,"Mélanie, 5 ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏","['CATEGORY_SOCIAL', 'INBOX']",True,138756
SHEIN <info@news.fr.shein.com>,Dernières heures avant que ces offres n'expirent !,Soyez à la pointe de la mode. Le nouveau style est là. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,"['CATEGORY_PROMOTIONS', 'INBOX']",True,50112
VALERIE VIDONI <vvidoni@jehann.fr>,[Jehann] Votre candidature,"Bonjour, En réponse à votre candidature pour une formation et une alternance, nous sommes au regret de vous informer que nous ne pouvons y donner une suite favorable. Nous sommes très sensibles à l","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,6134
Discord <notifications@discord.com>,icypada2522 t'a envoyé un message,Tu as reçu 1 nouveau message @IcyPada Voir les messages Besoin d&#39;aide ? Contacte notre équipe d&#39;assistance ou envoie-nous un message sur Twitter @discord. Tu souhaites nous faire part de ton,"['CATEGORY_UPDATES', 'INBOX']",False,45001
LinkedIn <jobs-listings@linkedin.com>,Capgemini recrute pour le poste suivant : Data Scientist,Votre profil correspond peut-être à l&#39;offre de Data Scientist chez Capgemini ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,141365
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,7 nouvelles offres d’emploi pour “data”,Voir les offres d&#39;emploi - Toulouse ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,127039
"""*OCCITANIE Prévention Fraudes"" <preventionfraudes.31096@francetravail.fr>",Contrôle dossier 24HPB047 - 4679193E ,Objet : Contrôle dossier / demande de pièces Références : 4679193E MME PICOT MELANIE Madame Je fais suite à notre entretien téléphonique de ce jour et vous confirme le contrôle en cours. Dans le cadre,"['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,35225
LinkedIn <jobs-listings@linkedin.com>,Avient Corporation recrute pour le poste suivant : Data Analytics Intern (Remote),Votre profil correspond peut-être à l&#39;offre de Data Analytics Intern (Remote) chez PolyOne ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,139205
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,6 nouvelles offres d’emploi pour “data”,Voir les offres d&#39;emploi - Toulouse ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,102821
GitHub <noreply@github.com>,[GitHub] Please verify your device,"Hey MelanieP31! A sign in attempt requires further verification because we did not recognize your device. To complete the sign in, enter the verification code on the unrecognized device. Device:","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,948
Thales Group <thales@myworkday.com>,Thales Careers - ALTERNANCE - Datascientist- F/H (R0249243),"Dear Mélanie Picot, We have reviewed your application for the position of ALTERNANCE - Datascientist- F/H (R0249243). After careful consideration, we regret to inform you that on this occasion you have","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,4870
"""Équipe de recrutement de Business & Decision"" <notifications@smartrecruiters.com>",Suite à votre candidature,"​​​​​​​​​​ Bonjour Melanie, Nous vous remercions de la confiance que vous avez témoignée en nous adressant votre candidature. Après examen approfondi de votre dossier, nous avons le regret de vous","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,7176
Epitech <mscpro-toulouse@epitech.eu>,Epitech : toute l'actualité du campus de Toulouse,"Consulter cet email en ligne Epitech : Oui à la Tech ! Epitech • Juin 2024 Epitech : Remises des titres 2024 REMISE DES TITRES 2024 Le premier jour du reste de leur vie. Le 13 avril dernier, les","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,59542
Thales Group <thales@myworkday.com>,Thales Careers - Alternance – Data Analyst et Data Scientist – F/H (R0244365),"Dear Mélanie Picot, We have reviewed your application for the position of Alternance – Data Analyst et Data Scientist – F/H (R0244365). After careful consideration, we regret to inform you that on this","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,4868
EPITECH <no-reply-candidature@epitech.eu>,[EPITECH] - Finalisez votre inscription,"Bonjour Mélanie PICOT, Vous allez intégrer notre établissement à notre prochaine rentrée et nous vous remercions de votre confiance. Vous trouverez ci-après les informations concernant votre rentrée à","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,126243
EPITECH <no-reply-candidature@epitech.eu>,[EPITECH] - Finalisez votre inscription,"Bonjour Mélanie PICOT, Vous allez intégrer notre établissement à notre prochaine rentrée et nous vous remercions de votre confiance. Vous trouverez ci-après les informations concernant votre rentrée à","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,126243
France Travail <service-candidat@pole-emploi.fr>,Votre rendez-vous avec un conseiller France Travail,"France Travail Candidat Bonjour, N&#39;oubliez pas votre rendez-vous avec France Travail prévu le 24/06/2024 à 14:00 à l&#39;adresse suivante : France Travail Toulouse la Plai 1 impasse René Couzinet","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,7893
APEC <noreply@diffusion.apec.fr>,Optimisez la visibilité de votre profil Apec,"Bonjour, Votre Profil Apec est publié dans notre Candidapec depuis le 21/02/2023. Augmentez la visibilité de votre profil Apec en le mettant à jour. Retenez l&#39;attention des recruteurs en le","['CATEGORY_UPDATES', 'INBOX']",False,1806
"""Enquête France Travail"" <enquetefrancetravail@enquete-ipsos-poleemploi.com>",Suite à votre dernier échange par mail avec votre conseiller France Travail,"Suite à votre dernier échange par mail avec votre conseiller France Travail Bonjour, L&#39;enquête concernant vos échanges avec France Travail se termine très prochainement. Il vous reste donc quelques","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,24848
LinkedIn <jobs-listings@linkedin.com>,Le poste de ALT 2024 Apprenti Data Analyst chez Airbus pourrait vous convenir  – Recrute activement,ALT 2024 Apprenti Data Analyst chez Airbus : Job DescriptionEt si votre aventure… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_SOCIAL', 'INBOX']",True,141122
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : AGSI-NET - Jobs - Data Analyst - Confirmé (H/F) et plus encore,"Data Analyst - Confirmé (H/F) chez AGSI-NET - Jobs : Contexte :Concevoir, développer, afficher et… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏","['CATEGORY_UPDATES', 'INBOX']",True,99432
"""Airbus Human Resources (Do Not Reply)"" <ag@myworkday.com>",AIRBUS - Your application status has been updated,"Subject: Mélanie Picot ‎- JR10256013 ALT 2024 Apprenti Data Analyst (CAND11743411) Dear Mélanie Picot , Thank you for your application for the position of ALT 2024 Apprenti Data Analyst . We regret to","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,5535
France travail <Service-candidat@pole-emploi.fr>,"Vous avez reçu un courrier "" RDV entretien d'accompagnement "" dans votre espace francetravail.fr","France Travail Candidat Bonjour, Vous avez reçu un courrier « RDV entretien d&#39;accompagnement » dans votre espace francetravail.fr . Pour consulter le document : 1) Connectez-vous à votre espace","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,6857
France Travail <ne-pas-repondre-message@francetravail.fr>,France Travail - Conversation n°  2024061415211546674,"Logo Marianne Logo France Travail Bonjour, Je viens de vous envoyer une convocation pour un rdv le lundi 24 juin à14H à l&#39;agence France Travail de Toulouse La Plaine, 1 Impasse René Couzinet, 31500","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",False,2989
France Travail <ne-pas-repondre-message@francetravail.fr>,France Travail vous propose une offre d’emploi,"France Travail - Accueil Candidat Bonjour MELANIE PICOT, Nous vous proposons une offre d&#39;emploi pour un poste de Chargé d&#39;études naturaliste botaniste (h/f). Consultez la proposition dans la","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",False,9999
"""Intermarché"" <intermarche@infos.intermarche.com>",Votre commande est validée !,"Votre commande sur intermarche.com est bien enregistrée. Pour recevoir nos messages, ajoutez l&#39;adresse,intermarche@infos.intermarche.com à votre carnet d&#39;adresses. Si vous ne visualisez pas","['CATEGORY_UPDATES', 'INBOX']",True,129749
Doctorat <noreply@adum.fr>,sylvia.bouaskeur@univ-tlse3.fr Enquête Insertion Pro - ED BSB,"English below Bonjours à toutes et tous, Comme nous l&#39;avons annoncé, une enquête sur le devenir professionnelle des docteurs des promos 2018, 2020 et 2022 est en cours. Nous vous encourageons à y","['UNREAD', 'CATEGORY_UPDATES', 'INBOX']",False,5388
"""Enquête France Travail"" <enquetefrancetravail@enquete-ipsos-poleemploi.com>",Suite à votre dernier échange par mail avec votre conseiller France Travail,"Suite à votre dernier échange par mail avec votre conseiller France Travail Bonjour, Vous êtes donc actuellement inscrit(e) à France Travail. Votre avis concernant vos échanges avec France Travail est","['IMPORTANT', 'CATEGORY_UPDATES', 'INBOX']",True,25109
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,“Analyste de données” : Lesjeudis Group - XML - Data Analyst confirmé H/F,Data Analyst confirmé H/F chez Lesjeudis Group - XML : QUI SOMMES-NOUS ?Thales propose des systèmes… ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,88189
France Travail <pole-emploi@noreply-pole-emploi.fr>,Newsletter du numérique,Pour ouvrir la Newsletter cliquez ici,"['CATEGORY_UPDATES', 'INBOX']",False,0
Dorian Meyfroodt <dmeyfroodt@clever-age.com>,Re: Clever Age - Candidature Melanie Picot,"Bonjour, Je vous remercie pour votre candidature et l&#39;intérêt porté à Clever Age. Malheureusement, votre profil ne correspond pas à nos besoins actuels. Je vous souhaite le meilleur pour la suite","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,7838
toulouse-dataviz <contact@toulouse-dataviz.fr>,La newsletter de Toulouse Dataviz,"Humour, RAWGraphs, diagramme parlementaire et billet du japon View this email in your browser La Newsletter #36 Bonjour à tous, Voici notre dernière Newsletter : Humour, RAWGraphs, diagramme","['IMPORTANT', 'CATEGORY_PERSONAL', 'INBOX']",True,27288
Alertes LinkedIn Jobs <jobalerts-noreply@linkedin.com>,4 nouvelles offres d’emploi pour “data”,Voir les offres d&#39;emploi - Toulouse ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,"['CATEGORY_UPDATES', 'INBOX']",True,116526
